Model,Make,YOM,Color,Used,Transmission,Mileage,Location,Price
Land,Toyota,2019,Brown,Brand New,Automatic,1,"Kiambu, Kiambu / Kiambu","KSh 14,500,000"
Land,Toyota,2019,Silver,Brand New,Automatic,42,"Kiambu, Kiambu / Kiambu","KSh 13,000,000"
Note,Nissan,2013,White,Brand New,Automatic,97000,"Kiambu, Kiambu / Kiambu","KSh 680,000"
Fielder,Toyota,2013,White,Brand New,Automatic,780000,"Kiambu, Kiambu / Kiambu","KSh 1,350,000"
Fielder,Toyota,2013,White,Brand New,Automatic,780000,"Kiambu, Kiambu / Kiambu","KSh 1,350,000"
Legacy,Subaru,2012,Black,Brand New,Automatic,72000,"Mombasa, Changamwe","KSh 1,450,000"
Harrier,Toyota,2012,Black,Brand New,Automatic,89000,"Mombasa, Changamwe","KSh 2,400,000"
RVR,Mitsubishi,2014,Gray,Brand New,Automatic,58400,"Mombasa, Changamwe","KSh 1,950,000"
Note,Nissan,2012,Purple,Brand New,Automatic,62000,"Mombasa, Changamwe","KSh 600,000"
Note,Nissan,2012,Red,Brand New,Automatic,58000,"Mombasa, Changamwe","KSh 600,000"
Probox,Toyota,2013,Silver,Brand New,Automatic,89000,"Mombasa, Changamwe","KSh 700,000"
Land,Toyota,2013,Silver,Brand New,Automatic,75000,"Mombasa, Changamwe","KSh 9,000,000"
Fielder,Toyota,2012,Silver,Brand New,Automatic,100000,"Mombasa, Changamwe","KSh 1,180,000"
Demio,Mazda,2013,White,Brand New,Automatic,99000,"Mombasa, Changamwe","KSh 660,000"
NP300,Nissan,2013,White,Brand New,Automatic,101000,"Mombasa, Changamwe","KSh 900,000"
Caravan,Nissan,2011,White,Brand New,Automatic,102000,"Mombasa, Changamwe","KSh 1,500,000"
Note,Nissan,2015,Black,Brand New,Automatic,53252,"Mombasa, Ganjoni","KSh 900,000"
Note,Nissan,2015,Black,Brand New,Automatic,53252,"Mombasa, Ganjoni","KSh 900,000"
Fielder,Toyota,2015,Black,Brand New,Automatic,86000,"Mombasa, Ganjoni","KSh 1,300,000"
Fielder,Toyota,2015,Black,Brand New,Automatic,86000,"Mombasa, Ganjoni","KSh 1,300,000"
Axio,Toyota,2015,Black,Brand New,Automatic,51243,"Mombasa, Ganjoni","KSh 1,450,000"
Demio,Mazda,2014,Black,Brand New,Automatic,53088,"Mombasa, Ganjoni","KSh 750,000"
Demio,Mazda,2014,Black,Brand New,Automatic,53088,"Mombasa, Ganjoni","KSh 750,000"
Tiguan,Volkswagen,2014,Gold,Brand New,Automatic,Unavailable,"Mombasa, Ganjoni","KSh 2,100,000"
Fit,Honda,2014,Gray,Brand New,Automatic,Unavailable,"Mombasa, Ganjoni","KSh 930,000"
Vitz,Toyota,2015,Red,Brand New,Automatic,65214,"Mombasa, Ganjoni","KSh 900,000"
Vitz,Toyota,2015,Red,Brand New,Automatic,65214,"Mombasa, Ganjoni","KSh 900,000"
Auris,Toyota,2014,Red,Brand New,Automatic,51236,"Mombasa, Ganjoni","KSh 1,350,000"
Allion,Toyota,2014,Red,Brand New,Automatic,75000,"Mombasa, Ganjoni","KSh 1,450,000"
Succeed,Toyota,2015,Silver,Brand New,Automatic,78000,"Mombasa, Ganjoni","KSh 950,000"
Alphard,Toyota,2015,White,Brand New,Automatic,65283,"Mombasa, Ganjoni","KSh 4,100,000"
Demio,Mazda,2014,White,Brand New,Automatic,Unavailable,"Mombasa, Ganjoni","KSh 930,000"
Impreza,Subaru,2014,White,Brand New,Automatic,78000,"Mombasa, Ganjoni","KSh 1,250,000"
Impreza,Subaru,2014,White,Brand New,Automatic,78000,"Mombasa, Ganjoni","KSh 1,250,000"
Touran,Volkswagen,2014,Black,Brand New,Automatic,52505,"Mombasa, Mbaraki","KSh 1,300,000"
Forester,Subaru,2014,Blue,Brand New,Automatic,58558,"Mombasa, Mbaraki","KSh 2,450,000"
Golf,Volkswagen,2014,Silver,Brand New,Automatic,75454,"Mombasa, Mbaraki","KSh 1,350,000"
RAV4,Toyota,2020,Black,Brand New,Automatic,5000,"Mombasa, Mombasa CBD","KSh 6,199,000"
Harrier,Toyota,2020,Black,Brand New,Automatic,10000,"Mombasa, Mombasa CBD","KSh 7,299,000"
Land,Toyota,2018,Black,Brand New,Automatic,30000,"Mombasa, Mombasa CBD","KSh 8,799,000"
Stepwgn,Honda,2015,Black,Brand New,Automatic,89858,"Mombasa, Mombasa CBD","KSh 1,650,000"
GL,Mercedes-Benz,2014,Black,Brand New,Automatic,85000,"Mombasa, Mombasa CBD","KSh 9,500,000"
RVR,Mitsubishi,2014,Black,Brand New,Automatic,63528,"Mombasa, Mombasa CBD","KSh 1,800,000"
Wagon,Suzuki,2014,Black,Brand New,Automatic,65800,"Mombasa, Mombasa CBD","KSh 580,000"
Crown,Toyota,2014,Black,Brand New,Automatic,99000,"Mombasa, Mombasa CBD","KSh 3,000,000"
Crown,Toyota,2014,Black,Brand New,Automatic,99000,"Mombasa, Mombasa CBD","KSh 3,000,000"
Land,Toyota,2014,Black,Brand New,Automatic,54000,"Mombasa, Mombasa CBD","KSh 5,850,000"
Harrier,Toyota,2020,Blue,Brand New,Automatic,739,"Mombasa, Mombasa CBD","KSh 7,500,000"
Golf,Volkswagen,2014,Blue,Brand New,Automatic,56852,"Mombasa, Mombasa CBD","KSh 1,450,000"
Probox,Toyota,2013,Blue,Brand New,Automatic,90121,"Mombasa, Mombasa CBD","KSh 755,000"
Dayz,Nissan,2014,Brown,Brand New,Automatic,Unavailable,"Mombasa, Mombasa CBD","KSh 530,000"
Forester,Subaru,2014,Gold,Brand New,Automatic,74000,"Mombasa, Mombasa CBD","KSh 2,800,000"
Land,Toyota,2015,Gray,Brand New,Automatic,42000,"Mombasa, Mombasa CBD","KSh 7,100,000"
Fit,Honda,2014,Gray,Brand New,Automatic,Unavailable,"Mombasa, Mombasa CBD","KSh 850,000"
Axela,Mazda,2014,Gray,Brand New,Automatic,85848,"Mombasa, Mombasa CBD","KSh 1,450,000"
RAV4,Toyota,2014,Gray,Brand New,Automatic,85000,"Mombasa, Mombasa CBD","KSh 3,300,000"
Yaris,Toyota,2021,Pearl,Brand New,Automatic,Unavailable,"Mombasa, Mombasa CBD","KSh 3,500,000"
Harrier,Toyota,2020,Pearl,Brand New,Automatic,14,"Mombasa, Mombasa CBD","KSh 7,500,000"
Sienta,Toyota,2016,Red,Brand New,Automatic,81000,"Mombasa, Mombasa CBD","KSh 1,470,000"
CX-5,Mazda,2013,Red,Brand New,Automatic,85289,"Mombasa, Mombasa CBD","KSh 2,200,000"
Fielder,Toyota,2016,Silver,Brand New,Automatic,57003,"Mombasa, Mombasa CBD","KSh 1,450,000"
Succeed,Toyota,2015,Silver,Brand New,Automatic,85000,"Mombasa, Mombasa CBD","KSh 930,000"
Noah,Toyota,2014,Silver,Brand New,Automatic,60000,"Mombasa, Mombasa CBD","KSh 1,495,000"
Note,Nissan,2013,Silver,Brand New,Automatic,99000,"Mombasa, Mombasa CBD","KSh 690,000"
Land,Toyota,2018,White,Brand New,Automatic,10000,"Mombasa, Mombasa CBD","KSh 7,999,000"
Fit,Honda,2015,White,Brand New,Automatic,53666,"Mombasa, Mombasa CBD","KSh 920,000"
Forester,Subaru,2014,White,Brand New,Automatic,81000,"Mombasa, Mombasa CBD","KSh 2,650,000"
EV,Suzuki,2014,White,Brand New,Automatic,80000,"Mombasa, Mombasa CBD","KSh 650,000"
EV,Suzuki,2014,White,Brand New,Automatic,80000,"Mombasa, Mombasa CBD","KSh 650,000"
Land,Toyota,2013,White,Brand New,Automatic,36000,"Mombasa, Mombasa CBD","KSh 4,999,000"
HIJET,Daihatsu,2012,White,Brand New,Automatic,85000,"Mombasa, Mombasa CBD","KSh 570,000"
Moco,Nissan,2012,White,Brand New,Automatic,99000,"Mombasa, Mombasa CBD","KSh 510,000"
Moco,Nissan,2012,White,Brand New,Automatic,99000,"Mombasa, Mombasa CBD","KSh 510,000"
Alto,Suzuki,2012,Beige,Brand New,Automatic,88000,"Mombasa, Mvita","KSh 445,000"
CR-V,Honda,2014,Black,Brand New,Automatic,75168,"Mombasa, Mvita","KSh 2,450,000"
Note,Nissan,2014,Black,Brand New,Automatic,88254,"Mombasa, Mvita","KSh 700,000"
Fielder,Toyota,2014,Black,Brand New,Automatic,65000,"Mombasa, Mvita","KSh 1,300,000"
Auris,Toyota,2014,Black,Brand New,Automatic,69087,"Mombasa, Mvita","KSh 1,380,000"
Land,Toyota,2014,Black,Brand New,Automatic,88,"Mombasa, Mvita","KSh 5,200,000"
Golf,Volkswagen,2014,Black,Brand New,Automatic,74625,"Mombasa, Mvita","KSh 1,300,000"
Passat,Volkswagen,2014,Black,Brand New,Automatic,65400,"Mombasa, Mvita","KSh 1,700,000"
Stepwagon,Honda,2013,Black,Brand New,Automatic,69000,"Mombasa, Mvita","KSh 1,290,000"
Fit,Honda,2013,Black,Brand New,Automatic,78520,"Mombasa, Mvita","KSh 750,000"
CX-5,Mazda,2013,Black,Brand New,Automatic,63900,"Mombasa, Mvita","KSh 1,750,000"
Outlander,Mitsubishi,2013,Black,Brand New,Automatic,68000,"Mombasa, Mvita","KSh 1,900,000"
Juke,Nissan,2013,Black,Brand New,Automatic,62900,"Mombasa, Mvita","KSh 1,180,000"
Fielder,Toyota,2013,Black,Brand New,Automatic,69000,"Mombasa, Mvita","KSh 1,140,000"
Auris,Toyota,2013,Black,Brand New,Automatic,77000,"Mombasa, Mvita","KSh 1,180,000"
Wish,Toyota,2013,Black,Brand New,Automatic,64000,"Mombasa, Mvita","KSh 1,230,000"
Premio,Toyota,2013,Black,Brand New,Automatic,35,"Mombasa, Mvita","KSh 1,500,000"
Crown,Toyota,2013,Black,Brand New,Automatic,88000,"Mombasa, Mvita","KSh 1,690,000"
Vanguard,Toyota,2013,Black,Brand New,Automatic,71000,"Mombasa, Mvita","KSh 1,900,000"
FJ,Toyota,2013,Black,Brand New,Automatic,66000,"Mombasa, Mvita","KSh 4,300,000"
Land,Toyota,2013,Black,Brand New,Automatic,68000,"Mombasa, Mvita","KSh 4,700,000"
Land,Toyota,2013,Black,Brand New,Automatic,51000,"Mombasa, Mvita","KSh 7,700,000"
Tiguan,Volkswagen,2013,Black,Brand New,Automatic,66000,"Mombasa, Mvita","KSh 3,750,000"
RVR,Mitsubishi,2012,Black,Brand New,Automatic,66000,"Mombasa, Mvita","KSh 1,650,000"
X-Trail,Nissan,2012,Black,Brand New,Automatic,71000,"Mombasa, Mvita","KSh 1,480,000"
March,Nissan,2012,Black,Brand New,Automatic,81800,"Mombasa, Mvita","KSh 550,000"
Serena,Nissan,2012,Black,Brand New,Automatic,81800,"Mombasa, Mvita","KSh 899,000"
Outback,Subaru,2012,Black,Brand New,Automatic,50200,"Mombasa, Mvita","KSh 2,080,000"
Tribeca,Subaru,2012,Black,Brand New,Automatic,66800,"Mombasa, Mvita","KSh 830,000"
Tribeca,Subaru,2012,Black,Brand New,Automatic,66800,"Mombasa, Mvita","KSh 830,000"
Yaris,Toyota,2012,Black,Brand New,Automatic,61000,"Mombasa, Mvita","KSh 1,030,000"
Corolla,Toyota,2012,Black,Brand New,Automatic,70800,"Mombasa, Mvita","KSh 1,050,000"
Corolla,Toyota,2012,Black,Brand New,Automatic,70800,"Mombasa, Mvita","KSh 1,050,000"
Fielder,Toyota,2012,Black,Brand New,Automatic,81000,"Mombasa, Mvita","KSh 1,090,000"
Wish,Toyota,2012,Black,Brand New,Automatic,82120,"Mombasa, Mvita","KSh 1,230,000"
Noah,Toyota,2012,Black,Brand New,Automatic,67000,"Mombasa, Mvita","KSh 1,400,000"
Allion,Toyota,2012,Black,Brand New,Automatic,18000,"Mombasa, Mvita","KSh 1,500,000"
Rush,Toyota,2012,Black,Brand New,Automatic,75823,"Mombasa, Mvita","KSh 1,650,000"
Crown,Toyota,2012,Black,Brand New,Automatic,60222,"Mombasa, Mvita","KSh 1,690,000"
Vanguard,Toyota,2012,Black,Brand New,Automatic,88810,"Mombasa, Mvita","KSh 2,190,000"
Vellfire,Toyota,2012,Black,Brand New,Automatic,77700,"Mombasa, Mvita","KSh 2,400,000"
Note,Nissan,2011,Black,Brand New,Automatic,49000,"Mombasa, Mvita","KSh 600,000"
Vanguard,Toyota,2011,Black,Brand New,Automatic,55000,"Mombasa, Mvita","KSh 2,200,000"
Land,Toyota,2011,Black,Brand New,Automatic,75000,"Mombasa, Mvita","KSh 5,200,000"
Fit,Honda,2014,Blue,Brand New,Automatic,58000,"Mombasa, Mvita","KSh 900,000"
Demio,Mazda,2014,Blue,Brand New,Automatic,75000,"Mombasa, Mvita","KSh 689,000"
Noah,Toyota,2014,Blue,Brand New,Automatic,90254,"Mombasa, Mvita","KSh 1,750,000"
Passo,Toyota,2014,Blue,Brand New,Automatic,22000,"Mombasa, Mvita","KSh 580,000"
Passo,Toyota,2014,Blue,Brand New,Automatic,58100,"Mombasa, Mvita","KSh 690,000"
XF,Jaguar,2013,Blue,Brand New,Automatic,49000,"Mombasa, Mvita","KSh 3,450,000"
Juke,Nissan,2013,Blue,Brand New,Automatic,63500,"Mombasa, Mvita","KSh 1,250,000"
Note,Nissan,2013,Blue,Brand New,Automatic,75000,"Mombasa, Mvita","KSh 700,000"
Note,Nissan,2013,Blue,Brand New,Automatic,75000,"Mombasa, Mvita","KSh 700,000"
Alto,Suzuki,2013,Blue,Brand New,Automatic,47950,"Mombasa, Mvita","KSh 450,000"
Premio,Toyota,2013,Blue,Brand New,Automatic,40,"Mombasa, Mvita","KSh 1,600,000"
Shuttle,Honda,2012,Blue,Brand New,Automatic,99000,"Mombasa, Mvita","KSh 810,000"
Demio,Mazda,2012,Blue,Brand New,Automatic,73000,"Mombasa, Mvita","KSh 665,000"
RVR,Mitsubishi,2012,Blue,Brand New,Automatic,24000,"Mombasa, Mvita","KSh 1,750,000"
Juke,Nissan,2012,Blue,Brand New,Automatic,64000,"Mombasa, Mvita","KSh 1,200,000"
Swift,Suzuki,2012,Blue,Brand New,Automatic,88000,"Mombasa, Mvita","KSh 670,000"
Corolla,Toyota,2012,Blue,Brand New,Automatic,99000,"Mombasa, Mvita","KSh 1,100,000"
Corolla,Toyota,2012,Blue,Brand New,Automatic,99000,"Mombasa, Mvita","KSh 1,100,000"
Note,Nissan,2013,Brown,Brand New,Automatic,90000,"Mombasa, Mvita","KSh 680,000"
Hilux,Toyota,2019,Gray,Brand New,Automatic,3000,"Mombasa, Mvita","KSh 6,300,000"
Outback,Subaru,2015,Gray,Brand New,Automatic,97000,"Mombasa, Mvita","KSh 3,500,000"
Demio,Mazda,2014,Gray,Brand New,Automatic,39100,"Mombasa, Mvita","KSh 760,000"
Premio,Toyota,2014,Gray,Brand New,Automatic,92000,"Mombasa, Mvita","KSh 1,950,000"
RX,Lexus,2013,Gray,Brand New,Automatic,66000,"Mombasa, Mvita","KSh 3,500,000"
Premacy,Mazda,2013,Gray,Brand New,Automatic,66000,"Mombasa, Mvita","KSh 1,100,000"
Demio,Mazda,2013,Gray,Brand New,Automatic,69000,"Mombasa, Mvita","KSh 640,000"
Hilux,Toyota,2013,Gray,Brand New,Automatic,65000,"Mombasa, Mvita","KSh 3,600,000"
Demio,Mazda,2012,Gray,Brand New,Automatic,72704,"Mombasa, Mvita","KSh 630,000"
Vanguard,Toyota,2012,Gray,Brand New,Automatic,79000,"Mombasa, Mvita","KSh 2,200,000"
Vitz,Toyota,2012,Gray,Brand New,Automatic,45,"Mombasa, Mvita","KSh 740,000"
Vitz,Toyota,2012,Gray,Brand New,Automatic,78000,"Mombasa, Mvita","KSh 750,000"
Land,Toyota,2016,Green,Brand New,Automatic,49300,"Mombasa, Mvita","KSh 7,100,000"
X-Trail,Nissan,2013,Green,Brand New,Automatic,75000,"Mombasa, Mvita","KSh 1,700,000"
Sienta,Toyota,2012,Green,Brand New,Automatic,80960,"Mombasa, Mvita","KSh 860,000"
Wingroad,Nissan,2012,Pink,Brand New,Automatic,85636,"Mombasa, Mvita","KSh 700,000"
Alto,Suzuki,2013,Purple,Brand New,Automatic,79600,"Mombasa, Mvita","KSh 450,000"
Passo,Toyota,2013,Purple,Brand New,Automatic,54000,"Mombasa, Mvita","KSh 660,000"
Demio,Mazda,2012,Purple,Brand New,Automatic,85000,"Mombasa, Mvita","KSh 690,000"
Wish,Toyota,2012,Purple,Brand New,Automatic,79000,"Mombasa, Mvita","KSh 1,230,000"
Verisa,Mazda,2014,Red,Brand New,Automatic,68000,"Mombasa, Mvita","KSh 800,000"
X-Trail,Nissan,2014,Red,Brand New,Automatic,62000,"Mombasa, Mvita","KSh 2,500,000"
Auris,Toyota,2014,Red,Brand New,Automatic,65000,"Mombasa, Mvita","KSh 1,235,000"
Mirage,Mitsubishi,2013,Red,Brand New,Automatic,74000,"Mombasa, Mvita","KSh 570,000"
Auris,Toyota,2013,Red,Brand New,Automatic,44000,"Mombasa, Mvita","KSh 1,240,000"
Auris,Toyota,2013,Red,Brand New,Automatic,53000,"Mombasa, Mvita","KSh 1,250,000"
Premio,Toyota,2013,Red,Brand New,Automatic,45000,"Mombasa, Mvita","KSh 1,500,000"
Demio,Mazda,2012,Red,Brand New,Automatic,88800,"Mombasa, Mvita","KSh 640,000"
Juke,Nissan,2012,Red,Brand New,Automatic,80000,"Mombasa, Mvita","KSh 1,190,000"
Note,Nissan,2012,Red,Brand New,Automatic,70120,"Mombasa, Mvita","KSh 690,000"
Swift,Suzuki,2012,Red,Brand New,Automatic,79900,"Mombasa, Mvita","KSh 675,000"
Swift,Suzuki,2012,Red,Brand New,Automatic,67000,"Mombasa, Mvita","KSh 680,000"
Auris,Toyota,2012,Red,Brand New,Automatic,60800,"Mombasa, Mvita","KSh 1,200,000"
Wish,Toyota,2012,Red,Brand New,Automatic,6,"Mombasa, Mvita","KSh 1,230,000"
Vanguard,Toyota,2012,Red,Brand New,Automatic,69800,"Mombasa, Mvita","KSh 2,200,000"
Sienta,Toyota,2012,Red,Brand New,Automatic,90900,"Mombasa, Mvita","KSh 850,000"
Ractis,Toyota,2012,Red,Brand New,Automatic,60090,"Mombasa, Mvita","KSh 880,000"
Golf,Volkswagen,2012,Red,Brand New,Automatic,75000,"Mombasa, Mvita","KSh 1,300,000"
Probox,Toyota,2015,Silver,Brand New,Automatic,102685,"Mombasa, Mvita","KSh 860,000"
Ranger,Ford,2014,Silver,Brand New,Automatic,88245,"Mombasa, Mvita","KSh 4,200,000"
Premio,Toyota,2014,Silver,Brand New,Automatic,21013,"Mombasa, Mvita","KSh 1,800,000"
Land,Toyota,2014,Silver,Brand New,Automatic,59800,"Mombasa, Mvita","KSh 4,800,000"
Stream,Honda,2013,Silver,Brand New,Automatic,88000,"Mombasa, Mvita","KSh 1,130,000"
Fit,Honda,2013,Silver,Brand New,Automatic,68000,"Mombasa, Mvita","KSh 940,000"
C180,Mercedes-Benz,2013,Silver,Brand New,Automatic,32000,"Mombasa, Mvita","KSh 2,300,000"
Caravan,Nissan,2013,Silver,Brand New,Automatic,91000,"Mombasa, Mvita","KSh 1,980,000"
Advan,Nissan,2013,Silver,Brand New,Automatic,80808,"Mombasa, Mvita","KSh 600,000"
Note,Nissan,2013,Silver,Brand New,Automatic,88000,"Mombasa, Mvita","KSh 670,000"
Outback,Subaru,2013,Silver,Brand New,Automatic,79000,"Mombasa, Mvita","KSh 2,100,000"
Outback,Subaru,2013,Silver,Brand New,Automatic,79000,"Mombasa, Mvita","KSh 2,100,000"
Forester,Subaru,2013,Silver,Brand New,Automatic,69000,"Mombasa, Mvita","KSh 2,320,000"
Mark,Toyota,2013,Silver,Brand New,Automatic,65000,"Mombasa, Mvita","KSh 1,400,000"
Premio,Toyota,2013,Silver,Brand New,Automatic,79888,"Mombasa, Mvita","KSh 1,530,000"
Land,Toyota,2013,Silver,Brand New,Automatic,71000,"Mombasa, Mvita","KSh 4,750,000"
Vitz,Toyota,2013,Silver,Brand New,Automatic,11000,"Mombasa, Mvita","KSh 730,000"
Succeed,Toyota,2013,Silver,Brand New,Automatic,66000,"Mombasa, Mvita","KSh 950,000"
Townace,Toyota,2013,Silver,Brand New,Automatic,80560,"Mombasa, Mvita","KSh 950,000"
Fit,Honda,2012,Silver,Brand New,Automatic,68900,"Mombasa, Mvita","KSh 780,000"
Shuttle,Honda,2012,Silver,Brand New,Automatic,69800,"Mombasa, Mvita","KSh 890,000"
IS,Lexus,2012,Silver,Brand New,Automatic,69000,"Mombasa, Mvita","KSh 2,350,000"
IS,Lexus,2012,Silver,Brand New,Automatic,69000,"Mombasa, Mvita","KSh 2,350,000"
Pajero,Mitsubishi,2012,Silver,Brand New,Automatic,81000,"Mombasa, Mvita","KSh 770,000"
X-Trail,Nissan,2012,Silver,Brand New,Automatic,67000,"Mombasa, Mvita","KSh 1,620,000"
March,Nissan,2012,Silver,Brand New,Automatic,80090,"Mombasa, Mvita","KSh 575,000"
Advan,Nissan,2012,Silver,Brand New,Automatic,69900,"Mombasa, Mvita","KSh 600,000"
Note,Nissan,2012,Silver,Brand New,Automatic,97100,"Mombasa, Mvita","KSh 690,000"
Serena,Nissan,2012,Silver,Brand New,Automatic,97720,"Mombasa, Mvita","KSh 940,000"
Fielder,Toyota,2012,Silver,Brand New,Automatic,76000,"Mombasa, Mvita","KSh 1,000,000"
Prius,Toyota,2012,Silver,Brand New,Automatic,66,"Mombasa, Mvita","KSh 1,050,000"
Premio,Toyota,2012,Silver,Brand New,Automatic,64800,"Mombasa, Mvita","KSh 1,400,000"
Vanguard,Toyota,2012,Silver,Brand New,Automatic,90000,"Mombasa, Mvita","KSh 2,300,000"
Land,Toyota,2012,Silver,Brand New,Automatic,57600,"Mombasa, Mvita","KSh 4,790,000"
Vitz,Toyota,2012,Silver,Brand New,Automatic,70000,"Mombasa, Mvita","KSh 730,000"
Raum,Toyota,2012,Silver,Brand New,Automatic,89000,"Mombasa, Mvita","KSh 840,000"
Raum,Toyota,2012,Silver,Brand New,Automatic,89000,"Mombasa, Mvita","KSh 840,000"
Belta,Toyota,2012,Silver,Brand New,Automatic,70000,"Mombasa, Mvita","KSh 870,000"
Fielder,Toyota,2009,Silver,Brand New,Automatic,113000,"Mombasa, Mvita","KSh 630,000"
RAV4,Toyota,2007,Silver,Brand New,Automatic,110000,"Mombasa, Mvita","KSh 1,290,000"
Patrol,Nissan,2019,White,Brand New,Automatic,1,"Mombasa, Mvita","KSh 16,600,000"
LX,Lexus,2017,White,Brand New,Automatic,59000,"Mombasa, Mvita","KSh 18,500,000"
Land,Toyota,2016,White,Brand New,Automatic,16000,"Mombasa, Mvita","KSh 8,500,000"
Fielder,Toyota,2014,White,Brand New,Automatic,99086,"Mombasa, Mvita","KSh 1,350,000"
Fielder,Toyota,2014,White,Brand New,Automatic,99086,"Mombasa, Mvita","KSh 1,350,000"
Premio,Toyota,2014,White,Brand New,Automatic,39000,"Mombasa, Mvita","KSh 1,699,000"
Harrier,Toyota,2014,White,Brand New,Automatic,77000,"Mombasa, Mvita","KSh 3,650,000"
Land,Toyota,2014,White,Brand New,Automatic,27000,"Mombasa, Mvita","KSh 4,500,000"
Land,Toyota,2014,White,Brand New,Automatic,49000,"Mombasa, Mvita","KSh 5,100,000"
Land,Toyota,2014,White,Brand New,Automatic,54000,"Mombasa, Mvita","KSh 5,500,000"
Stream,Honda,2013,White,Brand New,Automatic,73000,"Mombasa, Mvita","KSh 1,190,000"
Insight,Honda,2013,White,Brand New,Automatic,71900,"Mombasa, Mvita","KSh 840,000"
Caravan,Nissan,2013,White,Brand New,Automatic,55400,"Mombasa, Mvita","KSh 1,790,000"
Legacy,Subaru,2013,White,Brand New,Automatic,55600,"Mombasa, Mvita","KSh 1,300,000"
Swift,Suzuki,2013,White,Brand New,Automatic,56000,"Mombasa, Mvita","KSh 750,000"
Fielder,Toyota,2013,White,Brand New,Automatic,81150,"Mombasa, Mvita","KSh 1,140,000"
Vitz,Toyota,2013,White,Brand New,Automatic,86000,"Mombasa, Mvita","KSh 720,000"
Succeed,Toyota,2013,White,Brand New,Automatic,79800,"Mombasa, Mvita","KSh 790,000"
X1,BMW,2012,White,Brand New,Automatic,77000,"Mombasa, Mvita","KSh 2,520,000"
Fit,Honda,2012,White,Brand New,Automatic,67900,"Mombasa, Mvita","KSh 700,000"
Outlander,Mitsubishi,2012,White,Brand New,Automatic,69000,"Mombasa, Mvita","KSh 1,970,000"
Advan,Nissan,2012,White,Brand New,Automatic,89000,"Mombasa, Mvita","KSh 590,000"
Tiida,Nissan,2012,White,Brand New,Automatic,74000,"Mombasa, Mvita","KSh 730,000"
Lafesta,Nissan,2012,White,Brand New,Automatic,80000,"Mombasa, Mvita","KSh 770,000"
202,Peugeot,2012,White,Brand New,Automatic,73800,"Mombasa, Mvita","KSh 1,780,000"
Alto,Suzuki,2012,White,Brand New,Automatic,61900,"Mombasa, Mvita","KSh 440,000"
Alto,Suzuki,2012,White,Brand New,Automatic,59500,"Mombasa, Mvita","KSh 470,000"
Fielder,Toyota,2012,White,Brand New,Automatic,99100,"Mombasa, Mvita","KSh 1,080,000"
Auris,Toyota,2012,White,Brand New,Automatic,59000,"Mombasa, Mvita","KSh 1,200,000"
Allion,Toyota,2012,White,Brand New,Automatic,85000,"Mombasa, Mvita","KSh 1,330,000"
Voxy,Toyota,2012,White,Brand New,Automatic,80100,"Mombasa, Mvita","KSh 1,400,000"
Vanguard,Toyota,2012,White,Brand New,Automatic,57000,"Mombasa, Mvita","KSh 2,200,000"
Land,Toyota,2012,White,Brand New,Automatic,76000,"Mombasa, Mvita","KSh 4,000,000"
Ractis,Toyota,2012,White,Brand New,Automatic,69000,"Mombasa, Mvita","KSh 648,000"
Porte,Toyota,2012,White,Brand New,Automatic,79999,"Mombasa, Mvita","KSh 680,000"
Land,Toyota,2012,White,Brand New,Automatic,44000,"Mombasa, Mvita","KSh 7,200,000"
Vitz,Toyota,2012,White,Brand New,Automatic,68800,"Mombasa, Mvita","KSh 700,000"
Sienta,Toyota,2012,White,Brand New,Automatic,76000,"Mombasa, Mvita","KSh 830,000"
Belta,Toyota,2012,White,Brand New,Automatic,75000,"Mombasa, Mvita","KSh 850,000"
Sienta,Toyota,2012,White,Brand New,Automatic,120000,"Mombasa, Mvita","KSh 850,000"
Belta,Toyota,2012,White,Brand New,Automatic,75000,"Mombasa, Mvita","KSh 850,000"
ISIS,Toyota,2012,White,Brand New,Automatic,98900,"Mombasa, Mvita","KSh 890,000"
Passo,Toyota,2011,White,Brand New,Automatic,74000,"Mombasa, Mvita","KSh 920,000"
Townace,Toyota,2011,White,Brand New,Automatic,100000,"Mombasa, Mvita","KSh 950,000"
Axela,Mazda,2014,Black,Brand New,Automatic,52341,"Mombasa, Nyali","KSh 1,250,000"
Axela,Mazda,2014,Black,Brand New,Automatic,52341,"Mombasa, Nyali","KSh 1,250,000"
Axela,Mazda,2014,Black,Brand New,Automatic,52341,"Mombasa, Nyali","KSh 1,250,000"
Vitz,Toyota,2014,Blue,Brand New,Automatic,Unavailable,"Mombasa, Nyali","KSh 1,100,000"
Land,Toyota,2020,Gray,Brand New,Automatic,Unavailable,"Mombasa, Nyali","KSh 9,200,000"
Sienta,Toyota,2014,Gray,Brand New,Automatic,16250,"Mombasa, Nyali","KSh 1,200,000"
X3,BMW,2014,Silver,Brand New,Automatic,87523,"Mombasa, Nyali","KSh 3,400,000"
Estima,Toyota,2014,White,Brand New,Automatic,23587,"Mombasa, Nyali","KSh 1,500,000"
Harrier,Toyota,2020,Gray,Brand New,Automatic,3000,"Mombasa, Tononoka","KSh 8,500,000"
Land,Toyota,2018,White,Brand New,Automatic,76000,"Mombasa, Tononoka","KSh 8,300,000"
Land,Toyota,2017,Black,Brand New,Automatic,51423,"Mombasa, Tudor","KSh 13,000,000"
